Год,"Потребительские расходы населения, млрд. руб.",Абсолютный прирост,"Темп роста, %","Темп прироста, %"
2019,45985,,,
2020,44615,-1370.0,97.0,-3.0
2021,52774,6789.0,114.8,14.8
2022,57846,11861.0,125.8,25.8
2023,66142,20157.0,143.8,43.8
2024,76239,30254.0,165.8,65.8
